mode,n,time_ns,result
iter,1,1890,1
iter,1,1666,1
iter,1,2398,1
iter,1,2069,1
iter,1,1876,1
iter,1,1843,1
iter,1,2491,1
iter,1,1637,1
iter,1,1878,1
iter,1,1863,1
iter,1,1784,1
iter,1,1649,1
iter,1,1782,1
iter,1,1845,1
iter,1,1674,1
iter,1,1780,1
iter,1,1793,1
iter,1,1879,1
iter,1,1795,1
iter,1,1940,1
iter,1,2350,1
iter,1,1976,1
iter,1,1666,1
iter,1,1638,1
iter,1,1706,1
iter,1,1768,1
iter,1,1758,1
iter,1,1663,1
iter,1,1708,1
iter,1,1697,1
iter,1,3047,1
iter,1,1741,1
iter,1,1672,1
iter,1,2016,1
iter,1,1557,1
iter,1,1792,1
iter,1,1674,1
iter,1,1823,1
iter,1,1652,1
iter,1,1631,1
iter,1,1617,1
iter,1,1754,1
iter,1,1705,1
iter,1,1713,1
iter,1,1545,1
iter,1,1860,1
iter,1,2634,1
iter,1,1610,1
iter,1,1919,1
iter,1,1913,1
iter,1,1753,1
iter,1,1547,1
iter,1,1897,1
iter,1,1734,1
iter,1,1874,1
iter,1,1793,1
iter,1,1865,1
iter,1,1842,1
iter,1,1696,1
iter,1,2045,1
iter,1,2017,1
iter,1,2058,1
iter,1,1966,1
iter,1,1717,1
iter,1,1771,1
iter,1,1624,1
iter,1,1645,1
iter,1,1656,1
iter,1,1636,1
iter,1,1631,1
iter,1,1816,1
iter,1,1621,1
iter,1,1645,1
iter,1,1612,1
iter,1,1644,1
iter,1,1702,1
iter,1,2100,1
iter,1,3036,1
iter,1,2592,1
iter,1,2341,1
iter,1,1713,1
iter,1,1683,1
iter,1,1622,1
iter,1,1637,1
iter,1,1939,1
iter,1,1727,1
iter,1,1676,1
iter,1,1736,1
iter,1,1709,1
iter,1,1817,1
iter,1,1716,1
iter,1,1766,1
iter,1,1853,1
iter,1,1700,1
iter,1,1919,1
iter,1,1636,1
iter,1,1707,1
iter,1,1727,1
iter,1,1714,1
iter,1,1640,1
iter,2,1708,1
iter,2,1826,1
iter,2,1943,1
iter,2,1866,1
iter,2,1676,1
iter,2,1652,1
iter,2,1612,1
iter,2,1709,1
iter,2,1674,1
iter,2,1902,1
iter,2,1787,1
iter,2,1784,1
iter,2,1706,1
iter,2,1591,1
iter,2,1825,1
iter,2,1728,1
iter,2,1708,1
iter,2,1709,1
iter,2,1760,1
iter,2,1725,1
iter,2,1917,1
iter,2,1727,1
iter,2,1609,1
iter,2,1619,1
iter,2,1711,1
iter,2,1703,1
iter,2,1688,1
iter,2,1631,1
iter,2,1754,1
iter,2,1669,1
iter,2,1855,1
iter,2,1623,1
iter,2,1614,1
iter,2,1796,1
iter,2,1709,1
iter,2,1739,1
iter,2,1663,1
iter,2,1704,1
iter,2,1665,1
iter,2,1698,1
iter,2,1672,1
iter,2,1649,1
iter,2,1840,1
iter,2,4154,1
iter,2,3107,1
iter,2,3837,1
iter,2,3880,1
iter,2,2168,1
iter,2,1903,1
iter,2,2032,1
iter,2,1710,1
iter,2,1619,1
iter,2,1763,1
iter,2,1603,1
iter,2,1683,1
iter,2,1699,1
iter,2,1566,1
iter,2,2054,1
iter,2,2470,1
iter,2,2414,1
iter,2,1947,1
iter,2,1959,1
iter,2,1601,1
iter,2,1576,1
iter,2,1537,1
iter,2,1614,1
iter,2,1768,1
iter,2,1752,1
iter,2,1727,1
iter,2,2429,1
iter,2,1867,1
iter,2,1767,1
iter,2,1699,1
iter,2,1624,1
iter,2,1643,1
iter,2,1821,1
iter,2,1754,1
iter,2,1697,1
iter,2,1685,1
iter,2,1646,1
iter,2,1739,1
iter,2,1645,1
iter,2,1539,1
iter,2,1677,1
iter,2,1707,1
iter,2,1807,1
iter,2,1741,1
iter,2,1900,1
iter,2,1758,1
iter,2,1694,1
iter,2,1662,1
iter,2,1822,1
iter,2,1647,1
iter,2,1647,1
iter,2,1751,1
iter,2,1636,1
iter,2,1681,1
iter,2,1517,1
iter,2,1705,1
iter,2,1670,1
iter,3,2380,2
iter,3,1747,2
iter,3,1988,2
iter,3,1570,2
iter,3,1800,2
iter,3,1730,2
iter,3,1636,2
iter,3,1698,2
iter,3,1761,2
iter,3,1818,2
iter,3,1683,2
iter,3,1921,2
iter,3,1643,2
iter,3,1777,2
iter,3,1734,2
iter,3,1693,2
iter,3,1809,2
iter,3,1912,2
iter,3,1641,2
iter,3,1727,2
iter,3,1727,2
iter,3,1716,2
iter,3,1745,2
iter,3,1743,2
iter,3,1822,2
iter,3,1757,2
iter,3,1778,2
iter,3,1734,2
iter,3,1784,2
iter,3,1715,2
iter,3,1734,2
iter,3,1852,2
iter,3,1648,2
iter,3,2002,2
iter,3,1786,2
iter,3,1743,2
iter,3,1809,2
iter,3,1726,2
iter,3,1811,2
iter,3,1664,2
iter,3,1733,2
iter,3,1853,2
iter,3,1998,2
iter,3,2777,2
iter,3,1950,2
iter,3,1946,2
iter,3,1596,2
iter,3,1676,2
iter,3,1752,2
iter,3,1760,2
iter,3,1754,2
iter,3,1739,2
iter,3,1695,2
iter,3,1679,2
iter,3,1827,2
iter,3,1729,2
iter,3,1735,2
iter,3,1684,2
iter,3,1760,2
iter,3,1524,2
iter,3,1569,2
iter,3,1615,2
iter,3,1674,2
iter,3,1623,2
iter,3,1823,2
iter,3,1713,2
iter,3,1624,2
iter,3,1618,2
iter,3,1809,2
iter,3,1841,2
iter,3,1689,2
iter,3,1660,2
iter,3,1685,2
iter,3,1669,2
iter,3,1690,2
iter,3,1670,2
iter,3,1676,2
iter,3,1652,2
iter,3,1657,2
iter,3,1817,2
iter,3,2146,2
iter,3,1811,2
iter,3,1730,2
iter,3,1774,2
iter,3,1690,2
iter,3,1699,2
iter,3,1638,2
iter,3,1734,2
iter,3,1694,2
iter,3,1694,2
iter,3,1767,2
iter,3,1698,2
iter,3,1738,2
iter,3,1756,2
iter,3,1632,2
iter,3,1810,2
iter,3,1694,2
iter,3,1739,2
iter,3,1750,2
iter,3,1673,2
iter,4,1998,3
iter,4,1994,3
iter,4,1880,3
iter,4,1712,3
iter,4,1919,3
iter,4,1662,3
iter,4,1751,3
iter,4,1656,3
iter,4,1577,3
iter,4,1571,3
iter,4,2074,3
iter,4,1712,3
iter,4,2641,3
iter,4,1783,3
iter,4,1795,3
iter,4,1733,3
iter,4,1657,3
iter,4,1686,3
iter,4,1634,3
iter,4,1832,3
iter,4,1621,3
iter,4,1793,3
iter,4,1658,3
iter,4,1635,3
iter,4,1733,3
iter,4,1713,3
iter,4,1697,3
iter,4,1712,3
iter,4,2567,3
iter,4,2215,3
iter,4,2385,3
iter,4,1936,3
iter,4,1728,3
iter,4,1786,3
iter,4,1776,3
iter,4,1569,3
iter,4,1674,3
iter,4,1747,3
iter,4,1790,3
iter,4,1788,3
iter,4,1537,3
iter,4,1766,3
iter,4,1669,3
iter,4,1781,3
iter,4,1897,3
iter,4,1744,3
iter,4,1598,3
iter,4,1805,3
iter,4,1618,3
iter,4,1733,3
iter,4,1779,3
iter,4,1707,3
iter,4,1726,3
iter,4,1732,3
iter,4,1790,3
iter,4,1605,3
iter,4,1832,3
iter,4,1594,3
iter,4,1694,3
iter,4,1707,3
iter,4,1766,3
iter,4,1716,3
iter,4,1723,3
iter,4,1666,3
iter,4,1793,3
iter,4,1676,3
iter,4,1787,3
iter,4,1808,3
iter,4,1588,3
iter,4,1668,3
iter,4,1732,3
iter,4,1630,3
iter,4,1647,3
iter,4,1598,3
iter,4,2022,3
iter,4,1678,3
iter,4,1861,3
iter,4,1969,3
iter,4,1921,3
iter,4,2161,3
iter,4,1980,3
iter,4,1747,3
iter,4,1623,3
iter,4,1822,3
iter,4,1855,3
iter,4,1658,3
iter,4,1751,3
iter,4,1572,3
iter,4,1768,3
iter,4,1700,3
iter,4,1724,3
iter,4,1585,3
iter,4,2358,3
iter,4,1912,3
iter,4,1706,3
iter,4,1595,3
iter,4,1747,3
iter,4,1651,3
iter,4,1700,3
iter,4,1615,3
iter,5,1793,5
iter,5,1776,5
iter,5,1804,5
iter,5,1711,5
iter,5,1710,5
iter,5,1787,5
iter,5,2266,5
iter,5,1745,5
iter,5,1661,5
iter,5,1696,5
iter,5,1757,5
iter,5,2747,5
iter,5,2307,5
iter,5,1949,5
iter,5,2316,5
iter,5,1758,5
iter,5,1749,5
iter,5,1776,5
iter,5,2002,5
iter,5,1799,5
iter,5,1726,5
iter,5,2352,5
iter,5,1823,5
iter,5,1614,5
iter,5,1696,5
iter,5,1750,5
iter,5,1794,5
iter,5,1762,5
iter,5,1663,5
iter,5,1761,5
iter,5,1688,5
iter,5,1981,5
iter,5,1716,5
iter,5,1587,5
iter,5,1599,5
iter,5,1674,5
iter,5,1630,5
iter,5,1734,5
iter,5,1546,5
iter,5,1583,5
iter,5,1966,5
iter,5,1596,5
iter,5,1757,5
iter,5,1683,5
iter,5,1567,5
iter,5,1626,5
iter,5,1691,5
iter,5,1750,5
iter,5,1729,5
iter,5,1672,5
iter,5,1675,5
iter,5,1640,5
iter,5,1657,5
iter,5,1658,5
iter,5,1866,5
iter,5,1761,5
iter,5,1730,5
iter,5,1779,5
iter,5,1662,5
iter,5,1652,5
iter,5,1669,5
iter,5,1609,5
iter,5,1763,5
iter,5,1943,5
iter,5,1766,5
iter,5,1682,5
iter,5,1752,5
iter,5,1805,5
iter,5,1797,5
iter,5,1584,5
iter,5,1966,5
iter,5,1740,5
iter,5,1713,5
iter,5,1756,5
iter,5,1720,5
iter,5,1738,5
iter,5,1697,5
iter,5,1727,5
iter,5,1682,5
iter,5,1704,5
iter,5,1759,5
iter,5,1604,5
iter,5,1851,5
iter,5,1740,5
iter,5,1729,5
iter,5,1734,5
iter,5,1746,5
iter,5,1745,5
iter,5,1948,5
iter,5,1665,5
iter,5,1692,5
iter,5,2054,5
iter,5,1691,5
iter,5,1716,5
