mode,n,time_ns,result
iter,1,1814,4
iter,1,1784,4
iter,1,1765,4
iter,1,1826,4
iter,1,1698,4
iter,1,1712,4
iter,1,1802,4
iter,1,1922,4
iter,1,1769,4
iter,1,2183,4
iter,1,1871,4
iter,1,1603,4
iter,1,1671,4
iter,1,1913,4
iter,1,1815,4
iter,1,1749,4
iter,1,2464,4
iter,1,2042,4
iter,1,1802,4
iter,1,1694,4
iter,1,2097,4
iter,1,1758,4
iter,1,1967,4
iter,1,1748,4
iter,1,1753,4
iter,1,2068,4
iter,1,1723,4
iter,1,1751,4
iter,1,1791,4
iter,1,1640,4
iter,1,1847,4
iter,1,1805,4
iter,1,1714,4
iter,1,1631,4
iter,1,1703,4
iter,1,1781,4
iter,1,1755,4
iter,1,1736,4
iter,1,1868,4
iter,1,1780,4
iter,1,3089,4
iter,1,1823,4
iter,1,1819,4
iter,1,1754,4
iter,1,2109,4
iter,1,1896,4
iter,1,1703,4
iter,1,2026,4
iter,1,1770,4
iter,1,2001,4
iter,1,1933,4
iter,1,1906,4
iter,1,1773,4
iter,1,1895,4
iter,1,2023,4
iter,1,1903,4
iter,1,2289,4
iter,1,2309,4
iter,1,1959,4
iter,1,1892,4
iter,1,2050,4
iter,1,2325,4
iter,1,2141,4
iter,1,1929,4
iter,1,2018,4
iter,1,2179,4
iter,1,1724,4
iter,1,1755,4
iter,1,1749,4
iter,1,3969,4
iter,1,2622,4
iter,1,2053,4
iter,1,2042,4
iter,1,1821,4
iter,1,2151,4
iter,1,1979,4
iter,1,1939,4
iter,1,1900,4
iter,1,1996,4
iter,1,2193,4
iter,1,1734,4
iter,1,1924,4
iter,1,2428,4
iter,1,2861,4
iter,1,2219,4
iter,1,2113,4
iter,1,1957,4
iter,1,1893,4
iter,1,1853,4
iter,1,1902,4
iter,1,1954,4
iter,1,1907,4
iter,1,1953,4
iter,1,1812,4
iter,1,1923,4
iter,1,1821,4
iter,1,2024,4
iter,1,2200,4
iter,1,1933,4
iter,1,1786,4
iter,21,1972,44
iter,21,1824,44
iter,21,1791,44
iter,21,1925,44
iter,21,1701,44
iter,21,1746,44
iter,21,1908,44
iter,21,1851,44
iter,21,1866,44
iter,21,1836,44
iter,21,1778,44
iter,21,2099,44
iter,21,1981,44
iter,21,1923,44
iter,21,1807,44
iter,21,1838,44
iter,21,1902,44
iter,21,1835,44
iter,21,1944,44
iter,21,1907,44
iter,21,1988,44
iter,21,1881,44
iter,21,1848,44
iter,21,1799,44
iter,21,1907,44
iter,21,2086,44
iter,21,1880,44
iter,21,1759,44
iter,21,1878,44
iter,21,1877,44
iter,21,1862,44
iter,21,1887,44
iter,21,1815,44
iter,21,1821,44
iter,21,1710,44
iter,21,1750,44
iter,21,1669,44
iter,21,1809,44
iter,21,1981,44
iter,21,1894,44
iter,21,1938,44
iter,21,1883,44
iter,21,1681,44
iter,21,1775,44
iter,21,1892,44
iter,21,2207,44
iter,21,2298,44
iter,21,1815,44
iter,21,1970,44
iter,21,1767,44
iter,21,1791,44
iter,21,1805,44
iter,21,1961,44
iter,21,1836,44
iter,21,1878,44
iter,21,2135,44
iter,21,1905,44
iter,21,1756,44
iter,21,1715,44
iter,21,1912,44
iter,21,1775,44
iter,21,1915,44
iter,21,2013,44
iter,21,1771,44
iter,21,1746,44
iter,21,1751,44
iter,21,1896,44
iter,21,2717,44
iter,21,1878,44
iter,21,1780,44
iter,21,1894,44
iter,21,1918,44
iter,21,1653,44
iter,21,1689,44
iter,21,1804,44
iter,21,1867,44
iter,21,2164,44
iter,21,1741,44
iter,21,2010,44
iter,21,1915,44
iter,21,1827,44
iter,21,1879,44
iter,21,1868,44
iter,21,1810,44
iter,21,1903,44
iter,21,1823,44
iter,21,1899,44
iter,21,2010,44
iter,21,1734,44
iter,21,1794,44
iter,21,1914,44
iter,21,2113,44
iter,21,1883,44
iter,21,1788,44
iter,21,2076,44
iter,21,1899,44
iter,21,1870,44
iter,21,1817,44
iter,21,1741,44
iter,21,1725,44
iter,41,1803,84
iter,41,1815,84
iter,41,1865,84
iter,41,1937,84
iter,41,2041,84
iter,41,1680,84
iter,41,1857,84
iter,41,1983,84
iter,41,1839,84
iter,41,1821,84
iter,41,1893,84
iter,41,1795,84
iter,41,1776,84
iter,41,1767,84
iter,41,1822,84
iter,41,1945,84
iter,41,1863,84
iter,41,2166,84
iter,41,1804,84
iter,41,1796,84
iter,41,1895,84
iter,41,2089,84
iter,41,1863,84
iter,41,3285,84
iter,41,2545,84
iter,41,1891,84
iter,41,1903,84
iter,41,1988,84
iter,41,1691,84
iter,41,1797,84
iter,41,1818,84
iter,41,1755,84
iter,41,1914,84
iter,41,2505,84
iter,41,2370,84
iter,41,1950,84
iter,41,1869,84
iter,41,2183,84
iter,41,1852,84
iter,41,1851,84
iter,41,1853,84
iter,41,3238,84
iter,41,5473,84
iter,41,2188,84
iter,41,1788,84
iter,41,1822,84
iter,41,1752,84
iter,41,1764,84
iter,41,1791,84
iter,41,1815,84
iter,41,1719,84
iter,41,2462,84
iter,41,2098,84
iter,41,1767,84
iter,41,1821,84
iter,41,1811,84
iter,41,1897,84
iter,41,2046,84
iter,41,1858,84
iter,41,1846,84
iter,41,1944,84
iter,41,1974,84
iter,41,1759,84
iter,41,1726,84
iter,41,1796,84
iter,41,2229,84
iter,41,1861,84
iter,41,2152,84
iter,41,1922,84
iter,41,1939,84
iter,41,1989,84
iter,41,1805,84
iter,41,1786,84
iter,41,1910,84
iter,41,1880,84
iter,41,1917,84
iter,41,1880,84
iter,41,1861,84
iter,41,1809,84
iter,41,1866,84
iter,41,1809,84
iter,41,1751,84
iter,41,1897,84
iter,41,2111,84
iter,41,1899,84
iter,41,3053,84
iter,41,1809,84
iter,41,1798,84
iter,41,1781,84
iter,41,2105,84
iter,41,1771,84
iter,41,2597,84
iter,41,3013,84
iter,41,2217,84
iter,41,2084,84
iter,41,1913,84
iter,41,2168,84
iter,41,1954,84
iter,41,2590,84
iter,41,2840,84
iter,61,2056,124
iter,61,2170,124
iter,61,1839,124
iter,61,1900,124
iter,61,2161,124
iter,61,1989,124
iter,61,1991,124
iter,61,2022,124
iter,61,1914,124
iter,61,1835,124
iter,61,1996,124
iter,61,1859,124
iter,61,2074,124
iter,61,1899,124
iter,61,1952,124
iter,61,2127,124
iter,61,2244,124
iter,61,1907,124
iter,61,1960,124
iter,61,1937,124
iter,61,1792,124
iter,61,1864,124
iter,61,2917,124
iter,61,1929,124
iter,61,2171,124
iter,61,1777,124
iter,61,1940,124
iter,61,1988,124
iter,61,2623,124
iter,61,1978,124
iter,61,1802,124
iter,61,2174,124
iter,61,1753,124
iter,61,2072,124
iter,61,1743,124
iter,61,1899,124
iter,61,2075,124
iter,61,2053,124
iter,61,1914,124
iter,61,1854,124
iter,61,1968,124
iter,61,1938,124
iter,61,2379,124
iter,61,2100,124
iter,61,2094,124
iter,61,1788,124
iter,61,1940,124
iter,61,1864,124
iter,61,1843,124
iter,61,1829,124
iter,61,1908,124
iter,61,2081,124
iter,61,1779,124
iter,61,2078,124
iter,61,1822,124
iter,61,1928,124
iter,61,1774,124
iter,61,1879,124
iter,61,2138,124
iter,61,1844,124
iter,61,1868,124
iter,61,2007,124
iter,61,1846,124
iter,61,1813,124
iter,61,1737,124
iter,61,1837,124
iter,61,2314,124
iter,61,1794,124
iter,61,1808,124
iter,61,2210,124
iter,61,1927,124
iter,61,1959,124
iter,61,1904,124
iter,61,2258,124
iter,61,2330,124
iter,61,2268,124
iter,61,1897,124
iter,61,2023,124
iter,61,1929,124
iter,61,1988,124
iter,61,2057,124
iter,61,1970,124
iter,61,1910,124
iter,61,1912,124
iter,61,1862,124
iter,61,1900,124
iter,61,1926,124
iter,61,1845,124
iter,61,1923,124
iter,61,1958,124
iter,61,1907,124
iter,61,3047,124
iter,61,6742,124
iter,61,2126,124
iter,61,1761,124
iter,61,1957,124
iter,61,1891,124
iter,61,2047,124
iter,61,1887,124
iter,61,2428,124
iter,81,2425,164
iter,81,1907,164
iter,81,1865,164
iter,81,1902,164
iter,81,1935,164
iter,81,1976,164
iter,81,2061,164
iter,81,1926,164
iter,81,1873,164
iter,81,2012,164
iter,81,1809,164
iter,81,1933,164
iter,81,2143,164
iter,81,2080,164
iter,81,2002,164
iter,81,1963,164
iter,81,2059,164
iter,81,1863,164
iter,81,2021,164
iter,81,1913,164
iter,81,1958,164
iter,81,2060,164
iter,81,2176,164
iter,81,1960,164
iter,81,1997,164
iter,81,1910,164
iter,81,1886,164
iter,81,1891,164
iter,81,2045,164
iter,81,1799,164
iter,81,1801,164
iter,81,1974,164
iter,81,1860,164
iter,81,2035,164
iter,81,1811,164
iter,81,1931,164
iter,81,2160,164
iter,81,2922,164
iter,81,2779,164
iter,81,2456,164
iter,81,1915,164
iter,81,2109,164
iter,81,1988,164
iter,81,2017,164
iter,81,1927,164
iter,81,1887,164
iter,81,2063,164
iter,81,1930,164
iter,81,1947,164
iter,81,1949,164
iter,81,1833,164
iter,81,2016,164
iter,81,1835,164
iter,81,1825,164
iter,81,1881,164
iter,81,1968,164
iter,81,1955,164
iter,81,1978,164
iter,81,1917,164
iter,81,1951,164
iter,81,1823,164
iter,81,38612,164
iter,81,1851,164
iter,81,1835,164
iter,81,1844,164
iter,81,1934,164
iter,81,1889,164
iter,81,2233,164
iter,81,1971,164
iter,81,2013,164
iter,81,1754,164
iter,81,2167,164
iter,81,1917,164
iter,81,1817,164
iter,81,1936,164
iter,81,1703,164
iter,81,1885,164
iter,81,1947,164
iter,81,2141,164
iter,81,1980,164
iter,81,1895,164
iter,81,1782,164
iter,81,1859,164
iter,81,2040,164
iter,81,1847,164
iter,81,2060,164
iter,81,2059,164
iter,81,1969,164
iter,81,2462,164
iter,81,1950,164
iter,81,1942,164
iter,81,1969,164
iter,81,1985,164
iter,81,1851,164
iter,81,2046,164
iter,81,1798,164
iter,81,1941,164
iter,81,1985,164
iter,81,2178,164
iter,81,2698,164
iter,101,2491,204
iter,101,2068,204
iter,101,2110,204
iter,101,2378,204
iter,101,1926,204
iter,101,1872,204
iter,101,2106,204
iter,101,2227,204
iter,101,2088,204
iter,101,1985,204
iter,101,2011,204
iter,101,1961,204
iter,101,2145,204
iter,101,2553,204
iter,101,2897,204
iter,101,2118,204
iter,101,1838,204
iter,101,1864,204
iter,101,1952,204
iter,101,1869,204
iter,101,1955,204
iter,101,1937,204
iter,101,1976,204
iter,101,1963,204
iter,101,1928,204
iter,101,1953,204
iter,101,1908,204
iter,101,2141,204
iter,101,2248,204
iter,101,1926,204
iter,101,2148,204
iter,101,2297,204
iter,101,1980,204
iter,101,1863,204
iter,101,1989,204
iter,101,1920,204
iter,101,2027,204
iter,101,1905,204
iter,101,2173,204
iter,101,2073,204
iter,101,1991,204
iter,101,2128,204
iter,101,1858,204
iter,101,1889,204
iter,101,1823,204
iter,101,2057,204
iter,101,2146,204
iter,101,2001,204
iter,101,2028,204
iter,101,1850,204
iter,101,1876,204
iter,101,1823,204
iter,101,1919,204
iter,101,1940,204
iter,101,1733,204
iter,101,1913,204
iter,101,1938,204
iter,101,2017,204
iter,101,1878,204
iter,101,1915,204
iter,101,1984,204
iter,101,1845,204
iter,101,2176,204
iter,101,1886,204
iter,101,2272,204
iter,101,2131,204
iter,101,2043,204
iter,101,2182,204
iter,101,2023,204
iter,101,1900,204
iter,101,2016,204
iter,101,1993,204
iter,101,1969,204
iter,101,1965,204
iter,101,1832,204
iter,101,1918,204
iter,101,1882,204
iter,101,15087,204
iter,101,1948,204
iter,101,2229,204
iter,101,2015,204
iter,101,2258,204
iter,101,2101,204
iter,101,1885,204
iter,101,1949,204
iter,101,1951,204
iter,101,2049,204
iter,101,1940,204
iter,101,1898,204
iter,101,1924,204
iter,101,1906,204
iter,101,2082,204
iter,101,1925,204
iter,101,2526,204
iter,101,2110,204
iter,101,2120,204
iter,101,2041,204
iter,101,1874,204
iter,101,2105,204
iter,101,2067,204
iter,121,2032,244
iter,121,1982,244
iter,121,1977,244
iter,121,2188,244
iter,121,2082,244
iter,121,2086,244
iter,121,1875,244
iter,121,1981,244
iter,121,2198,244
iter,121,2023,244
iter,121,1916,244
iter,121,2032,244
iter,121,1951,244
iter,121,2060,244
iter,121,1977,244
iter,121,2063,244
iter,121,1896,244
iter,121,1895,244
iter,121,1965,244
iter,121,1911,244
iter,121,2046,244
iter,121,1943,244
iter,121,1922,244
iter,121,1940,244
iter,121,2203,244
iter,121,2147,244
iter,121,1974,244
iter,121,2220,244
iter,121,2044,244
iter,121,2097,244
iter,121,1821,244
iter,121,2001,244
iter,121,2052,244
iter,121,2180,244
iter,121,2048,244
iter,121,2092,244
iter,121,1993,244
iter,121,2170,244
iter,121,2137,244
iter,121,2781,244
iter,121,2072,244
iter,121,2406,244
iter,121,1922,244
iter,121,2100,244
iter,121,1997,244
iter,121,2155,244
iter,121,1979,244
iter,121,2139,244
iter,121,1956,244
iter,121,2113,244
iter,121,1941,244
iter,121,2052,244
iter,121,1817,244
iter,121,1915,244
iter,121,2338,244
iter,121,2246,244
iter,121,2038,244
iter,121,2024,244
iter,121,2030,244
iter,121,1980,244
iter,121,1920,244
iter,121,2639,244
iter,121,1911,244
iter,121,1973,244
iter,121,2082,244
iter,121,2106,244
iter,121,1878,244
iter,121,1957,244
iter,121,1916,244
iter,121,1939,244
iter,121,2288,244
iter,121,2070,244
iter,121,1997,244
iter,121,1980,244
iter,121,2195,244
iter,121,2176,244
iter,121,1917,244
iter,121,1920,244
iter,121,1984,244
iter,121,2046,244
iter,121,1954,244
iter,121,1849,244
iter,121,1971,244
iter,121,2024,244
iter,121,2023,244
iter,121,2051,244
iter,121,1999,244
iter,121,2186,244
iter,121,2029,244
iter,121,1901,244
iter,121,1894,244
iter,121,2375,244
iter,121,1883,244
iter,121,2028,244
iter,121,1916,244
iter,121,1871,244
iter,121,1915,244
iter,121,1934,244
iter,121,1930,244
iter,121,2144,244
iter,141,2110,284
iter,141,3134,284
iter,141,2481,284
iter,141,2352,284
iter,141,2106,284
iter,141,2014,284
iter,141,1978,284
iter,141,2330,284
iter,141,2085,284
iter,141,2076,284
iter,141,2436,284
iter,141,2056,284
iter,141,1979,284
iter,141,2128,284
iter,141,2030,284
iter,141,1993,284
iter,141,2042,284
iter,141,2371,284
iter,141,1917,284
iter,141,1989,284
iter,141,2047,284
iter,141,2084,284
iter,141,2045,284
iter,141,2089,284
iter,141,2098,284
iter,141,2016,284
iter,141,2137,284
iter,141,2247,284
iter,141,2010,284
iter,141,1891,284
